Position (mm),Force (N)
0.008,27.5
-0.000565476,-6.1875
-0.011755952,-13.875
-0.004071429,-9.5625
-0.011011905,1.75
0.005672619,-0.4375
0.007232143,21.875
-0.002958333,80.6875
0.00772619,85.5
0.001535714,45.8125
0.008470238,99.625
0.002779762,139.9375
0.001839286,160.75
0.00764881,96.5625
0.000958333,175.875
0.013392857,195.6875
0.004702381,138
0.003261905,117.3125
0.004821429,226.625
0.011755952,216.4375
0.006690476,245.25
0.0135,248.0625
0.007559524,173.375
0.000369048,201.1875
0.002053571,209
0.004613095,274.3125
0.011797619,252.625
-0.001642857,242.9375
0.010791667,270.25
-0.01002381,235.5625
-0.010214286,259.375
-0.000904762,294.1875
-0.007595238,322.5
0.006839286,285.8125
0.01014881,295.125
-0.008291667,376.4375
0.013017857,379.25
0.001827381,332.0625
-0.005363095,405.875
0.007446429,401.1875
-0.006494048,431.5
-0.006559524,450.8125
0.007875,378.125
0.001559524,457.9375
0.000369048,383.25
0.005428571,406.5625
-0.003761905,405.875
-0.000952381,504.6875
-0.008017857,457.5
0.003666667,507.8125
0.00297619,472.125
-0.000464286,498.9375
0.008720238,503.25
-0.008845238,529.5625
0.012464286,516.875
0.01477381,566.1875
0.000208333,548
-0.004357143,570.3125
0.009952381,568.625
-0.007488095,551.4375
0.005696429,625.75
0.000255952,578.5625
-0.002184524,650.875
0.007875,645.1875
-0.006940476,620.5
0.015744048,660.8125
-0.005946429,609.625
0.000363095,693.4375
0.000672619,693.75
0.008607143,647.0625
0.003791667,647.375
-2.38095E-05,656.6875
0.015035714,682.5
0.011595238,727.8125
0.011029762,700.125
0.016339286,756.9375
0.00664881,712.75
0.010708333,770.0625
0.015142857,794.875
0.013327381,734.1875
0.016511905,740
-0.000928571,768.3125
0.012755952,783.125
0.004315476,778.4375
0.01175,778.75
0.011809524,857.0625
-0.003130952,802.875
-0.005071428,806.1875
-0.003636905,897.5
0.006672619,898.3125
-0.004392857,878.125
-0.002083333,899.4375
0.005351191,873.25
-0.001839286,932.0625
0.012470238,924.375
0.009779762,954.6875
0.006214286,896
0.01489881,918.8125
0.002458334,994.125
0.015642857,1006.9375
7.73812E-05,948.75
-0.004613095,996.0625
-0.000553571,1006.375
0.000255953,979.6875
0.013315477,1054.5
0.003625,1078.8125
0.002059524,1064.625
0.012744048,1054.9375
-0.002446428,1025.75
0.014738096,1024.0625
0.01504762,1051.875
0.009232143,1060.6875
-0.002833333,1104.5
-0.005148809,1131.8125
0.019035715,1151.125
-0.001779761,1166.4375
-0.005595237,1116.75
0.018339287,1169.5625
-0.00285119,1189.875
0.015583334,1196.1875
-0.004732142,1168.5
-0.000672618,1234.8125
0.008011906,1152.125
0.01044643,1176.9375
0.006005954,1207.75
6.54776E-05,1259.0625
0.015000001,1187.375
0.018309525,1203.1875
0.006869049,1254
-0.001696427,1280.8125
0.002488097,1264.125
0.004797621,1319.9375
0.001482145,1333.25
0.003916669,1320.5625
-0.002148807,1360.375
0.008785717,1297.1875
-0.000404759,1327.5
0.008029765,1333.3125
0.005589289,1389.625
0.020148813,1378.4375
0.005833337,1337.75
0.009642861,1361.5625
0.007452385,1427.875
0.017636909,1418.1875
0.013946433,1382
0.005505957,1450.3125
0.015440481,1452.125
0.016125005,1430.4375
0.016434529,1406.75
0.018369053,1492.0625
0.019553577,1428.875
0.008863101,1453.1875
0.011672626,1510.5
0.02060715,1497.3125
0.017916674,1471.625
0.011726198,1531.4375
0.020035722,1550.25
0.015095247,1563.0625
0.015529771,1507.875
0.004964295,1534.6875
0.004648819,1537.5
0.010708344,1551.8125
0.013267868,1600.125
0.014952392,1630.9375
0.021386917,1587.25
-0.000553559,1614.0625
0.021130966,1598.875
0.00794049,1664.6875
0.011750015,1630.5
0.002309539,1662.3125
0.006494064,1619.125
0.003928588,1644.4375
0.005863113,1662.75
0.016922637,1675.5625
0.019107162,1689.375
0.016791687,1671.1875
0.018601212,1763
0.016910736,1751.8125
0.005345261,1781.625
0.012279786,1797.4375
0.005214311,1722.75
